name,gender,social_status,allegiance_switched,time.hrs,died,death_description
Mole's town madam,Female,lowborn,1,4.37,1,Killed during the sacking of Mole's Town
Guymon,male,lowborn,1,0,1,Shot in the back/head with an arrow by Ygritte home on the farm
Olly,male,lowborn,1,16.76,1,Excuted by hanging by Jon Snow at Castle Black
Othell Yarwyck,male,lowborn,1,16.73,1,Excuted by hanging by Jon Snow at Castle Black
Great master 2,Male,highborn,1,0.92,1,Crucified on the orders of Daenerys Targaryen in the streets of Meereen
Hizdahr zo Loraq,Male,highborn,2,13.32,1,Stabbed repeatedly in the chest by the Sons of the Harpy in the figthing pit in Meereen
Oznak zo Pahl,male,lowborn,1,0.07,1,Slashed in the neck by Daario Naharis at the gates of Meereen
Great master 3,Male,highborn,1,36.21,0,NA
Great master 1,Male,highborn,1,0.1,1,Stabbed to death by uprising slaves in the streets of Meereen
Sissy,female,lowborn,1,35.51,0,NA
Morag,female,lowborn,1,35.48,0,NA
Donnel Waynwood,Male,highborn,1,35.13,0,NA
Tycho Nestoris,male,lowborn,1,34.45,0,NA
Lhara,female,lowborn,1,34.38,0,NA
Goatherd,male,lowborn,1,34.2,0,NA
Goatherd's son,male,lowborn,1,34.16,0,NA
Adrack Humble,male,lowborn,1,0.05,1,Flayed alive by Ramsay Bolton at Moat Cailin
Ralf Kenning,male,lowborn,1,0.04,1,Bludgeoned with an axe to the skull by Adrack Humble at Moat Cailin
Vance Corbray,Male,highborn,1,32.65,0,NA
Yohn Royce,Male,highborn,1,32.65,0,NA
Anya Waynwood,female,highborn,1,32.65,0,NA
Cooper,male,lowborn,1,0.25,1,Killed by wildling giant in Castle Black tunnel
Donnel Hill,Male,highborn,1,0.25,1,Killed by wildling giant in Castle Black tunnel
Fennesz,male,lowborn,1,31.06,0,NA
Three-Eyed Raven,male,lowborn,1,12.92,1,Slain in half by the Night King in a cave beyond The Wall
Ternesio Terys,male,lowborn,1,30.39,0,NA
White Rat,male,lowborn,1,0.03,1,Throat slit by a Sons of the Harpy assassin inside a brothel in Meereen
Vala,female,lowborn,1,30.17,0,NA
Mossador,male,lowborn,2,1.35,1,Beheaded by Daario Naharis in public square in Meereen
Samwell Stone,male,lowborn,1,30.02,0,NA
Helliweg,male,lowborn,1,30.02,0,NA
Bowen Marsh,male,lowborn,1,10.1,1,Executed by hanging by Jon Snow for treason at Castle Black
Lollys Stokeworth,female,highborn,1,29.33,0,NA
Trystane Martell,Male,highborn,1,7.81,1,Stabbed through the back of the head with a spear by Obara Sand inside ship's cabin at Blackwater Bay
Areo Hotah,male,lowborn,1,7.78,1,Stabbed in the back with a dagger by Tyene Sand at Water Gardens castle grounds
Doran Martell,Male,highborn,1,7.79,1,Stabbed in the chest with a dagger by Ellaria Sand at Water Gardens castle grounds
Son of the Harpy,male,lowborn,1,0.36,1,"Knives in the chest, murdered by Mossodor whilst being a prisoner in Meereen"
Denys Mallister,male,lowborn,1,28.97,0,NA
Waif,female,lowborn,1,13.36,1,Stabbed by Ayra Stark in a room in Braavos
High Sparrow,male,lowborn,1,13.85,1,Burned alive in a wildfire explosion in the Great Sept of Baelor
Red Priestess 1,female,lowborn,1,27.91,0,NA
Clea,female,lowborn,1,27.86,0,NA
Obara Sand,female,lowborn,1,15.57,1,Stabbed in the torso with a spear on deck of ship in the Narrow Sea
Nymeria Sand,female,lowborn,1,15.57,1,Strangled with her own whip by Euron Greyjoy on deck of ship in the Narrow Sea
Tyene Sand,female,lowborn,1,16.06,1,Poisoned with the Long Farewell by Cersei Lannister in the dungeon at King's Landing
Joss,male,lowborn,1,26.05,0,NA
Ghita,female,lowborn,1,0.05,1,Poisoned at the House of Black and White (Many-Faced God) in Braavos
Malko,male,lowborn,1,25.91,0,NA
Brant ,male,lowborn,1,25.1,0,NA
Derek,male,lowborn,1,25.1,0,NA
